Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
83,DJ Chark\CharDJ00,JAX,24,wr,3,3,16,15,204,13.6,3,13,45,5.0,68.0,93.8%,12.8,,,,0,,,,,15,13.6,204,3,0
84,Sammy Watkins\WatkSa00,KAN,27,wr,4,4,27,19,198,10.4,1,14,21,4.8,49.5,70.4%,7.3,1,3,0,0,3,3.0,0.8,0.3,20,10.1,201,1,1
85,Hunter Renfrow\RenfHu00,LVR,25,,4,0,22,16,199,12.4,1,11,37,4.0,49.8,72.7%,9.0,,,,0,,,,,16,12.4,199,1,1
86,Kendrick Bourne\BourKe00,SFO,25,wr,4,4,22,13,197,15.2,0,10,24,3.3,49.3,59.1%,9.0,,,,0,,,,,13,15.2,197,0,0
87,Sony Michel\MichSo00,NWE,25,rb,3,3,3,2,23,11.5,0,1,14,0.7,7.7,66.7%,7.7,26,173,1,7,48,6.7,57.7,8.7,28,7.0,196,1,0
88,Mo Alie-Cox\AlieMo00,IND,27,te,4,2,13,11,194,17.6,2,9,45,2.8,48.5,84.6%,14.9,,,,0,,,,,11,17.6,194,2,0
89,John Brown\BrowJo02,BUF,30,wr,4,4,23,14,194,13.9,2,11,46,3.5,48.5,60.9%,8.4,,,,0,,,,,14,13.9,194,2,0
90,Keelan Cole\ColeKe00,JAX,27,wr,4,1,23,19,194,10.2,2,12,23,4.8,48.5,82.6%,8.4,,,,0,,,,,19,10.2,194,2,0
91,Davante Adams\AdamDa01,GNB,28,wr,2,2,20,17,192,11.3,2,10,40,8.5,96.0,85.0%,9.6,,,,0,,,,,17,11.3,192,2,0
92,Jarvis Landry\LandJa00,CLE,28,wr,4,4,19,17,191,11.2,0,11,21,4.3,47.8,89.5%,10.1,,,,0,,,,,17,11.2,191,0,0
93,Mike Gesicki\GesiMi00,MIA,25,te,4,3,22,13,190,14.6,2,11,27,3.3,47.5,59.1%,8.6,,,,0,,,,,13,14.6,190,2,0
94,Tre'Quan Smith\SmitTr03,NOR,24,wr,4,4,18,14,186,13.3,2,11,29,3.5,46.5,77.8%,10.3,,,,0,,,,,14,13.3,186,2,0
95,Frank Gore\GoreFr00,NYJ,37,rb,4,4,5,2,11,5.5,0,0,6,0.5,2.8,40.0%,2.2,55,174,0,9,13,3.2,43.5,13.8,57,3.2,185,0,0
96,David Moore\MoorDa03,SEA,25,wr,4,3,11,10,173,17.3,2,6,57,2.5,43.3,90.9%,15.7,1,12,0,1,12,12.0,3.0,0.3,11,16.8,185,2,1
97,Curtis Samuel\SamuCu00,CAR,24,wr,4,1,18,14,147,10.5,0,7,24,3.5,36.8,77.8%,8.2,11,35,0,2,14,3.2,8.8,2.8,25,7.3,182,0,0
98,Emmanuel Sanders\SandEm00,NOR,33,wr,4,2,22,14,182,13.0,2,12,25,3.5,45.5,63.6%,8.3,,,,0,,,,,14,13.0,182,2,0
99,Jonnu Smith\SmitJo01,TEN,25,te,3,3,20,13,181,13.9,3,8,63,4.3,60.3,65.0%,9.1,,,,0,,,,,13,13.9,181,3,0
100,T.J. Hockenson\HockTJ00,DET,23,te,4,4,20,15,180,12.0,2,10,29,3.8,45.0,75.0%,9.0,,,,0,,,,,15,12.0,180,2,0
101,Damiere Byrd\ByrdDa00,NWE,27,wr,4,3,22,14,179,12.8,0,9,30,3.5,44.8,63.6%,8.1,,,,0,,,,,14,12.8,179,0,1
102,Brandon Aiyuk\AiyuBr00,SFO,22,wr,3,3,16,9,109,12.1,0,8,20,3.0,36.3,56.3%,6.8,4,69,2,2,38,17.3,23.0,1.3,13,13.7,178,2,0
103,Danny Amendola\AmenDa00,DET,35,wr,4,1,21,10,177,17.7,0,7,50,2.5,44.3,47.6%,8.4,,,,0,,,,,10,17.7,177,0,0
104,Mark Ingram\IngrMa01,BAL,31,rb,4,4,5,3,25,8.3,0,1,18,0.8,6.3,60.0%,5.0,34,148,2,7,30,4.4,37.0,8.5,37,4.7,173,2,0
105,Robert Tonyan\TonyRo00,GNB,26,te,4,3,14,13,173,13.3,5,11,27,3.3,43.3,92.9%,12.4,,,,0,,,,,13,13.3,173,5,0
106,Nyheim Hines\HineNy00,IND,24,,4,0,17,16,97,6.1,1,6,15,4.0,24.3,94.1%,5.7,23,73,1,4,12,3.2,18.3,5.8,39,4.4,170,2,0
107,Anthony Miller\MillAn02,CHI,26,,5,0,23,13,161,12.4,2,7,28,2.6,32.2,56.5%,7.0,1,9,0,1,9,9.0,1.8,0.2,14,12.1,170,2,1
108,Jimmy Graham\GrahJi00,CHI,34,te,5,5,28,17,169,9.9,4,13,29,3.4,33.8,60.7%,6.0,,,,0,,,,,17,9.9,169,4,1
109,Jordan Akins\AkinJo00,HOU,28,te,4,2,15,14,168,12.0,1,8,26,3.5,42.0,93.3%,11.2,,,,0,,,,,14,12.0,168,1,0
110,N'Keal Harry\HarrNK00,NWE,23,wr,4,4,28,18,166,9.2,1,9,27,4.5,41.5,64.3%,5.9,1,2,0,0,2,2.0,0.5,0.3,19,8.8,168,1,1
111,Gus Edwards\EdwaGu00,BAL,25,,4,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,27,167,0,11,24,6.2,41.8,6.8,27,6.2,167,0,0
112,Mark Andrews\AndrMa00,BAL,24,te,4,1,20,12,166,13.8,4,10,29,3.0,41.5,60.0%,8.3,,,,0,,,,,12,13.8,166,4,1
113,D'Andre Swift\SwifDA00,DET,21,,4,0,16,13,124,9.5,1,6,19,3.3,31.0,81.3%,7.8,12,42,1,2,7,3.5,10.5,3.0,25,6.6,166,2,0
114,Tee Higgins\HiggTe00,CIN,21,wr,4,2,22,12,152,12.7,2,9,30,3.0,38.0,54.5%,6.9,1,13,0,1,13,13.0,3.3,0.3,13,12.7,165,2,0
115,T.Y. Hilton\HiltT.00,IND,31,wr,4,4,22,13,162,12.5,0,9,28,3.3,40.5,59.1%,7.4,,,,0,,,,,13,12.5,162,0,0
